label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
5,1582.41,25.56,0.9407971922787666,95.0,40.0,58.638125,0.59375,6.0,5.23,1600.0,1.1483870967741936,0.9890062500000001
6,1494.99,24.61,0.9289247537203941,72.0,40.0,55.39875,0.45,5.43,5.19,1600.0,1.0454545454545454,0.93436875
7,1237.56,21.88,0.9296682968856904,78.0,40.0,45.859375,0.4875,4.96,4.92,1600.0,1.0068493150684932,0.7734749999999999
8,1233.06,20.97,0.9429883396966258,51.0,40.0,45.6925,0.31875,4.4,5.14,1600.0,0.8557377049180328,0.7706624999999999
9,1790.74,28.02,0.9347531342442598,113.0,40.0,66.358125,0.70625,5.38,6.73,1600.0,0.7994987468671679,1.1192125
10,1479.3,23.05,0.9474264110180934,71.0,40.0,54.8175,0.44375,5.67,4.77,1600.0,1.187279151943463,0.9245625
11,1427.98,23.93,0.9364561442318328,76.0,40.0,52.915625,0.475,5.4,5.26,1600.0,1.0256410256410255,0.8924875
12,1349.08,22.18,0.9347005550686532,73.0,40.0,49.991875,0.45625,4.92,5.21,1600.0,0.9449838187702265,0.843175
13,1345.62,23.78,0.9405149243174423,81.0,40.0,49.86375,0.50625,5.65,5.01,1600.0,1.127946127946128,0.8410124999999999
14,1476.62,23.65,0.9463119892775304,82.0,40.0,54.718125,0.5125,5.48,5.18,1600.0,1.0586319218241043,0.9228875
15,1278.64,22.78,0.9325075647617408,81.0,40.0,47.381875,0.50625,5.21,4.72,1600.0,1.1035714285714286,0.79915
16,1299.22,22.52,0.9271571801692283,69.0,40.0,48.144375,0.43125,5.23,4.77,1600.0,1.0954063604240283,0.8120125
1,1733.32,27.54,0.950218671696578,97.0,40.0,64.230625,0.60625,6.26,5.52,1600.0,1.1345565749235473,1.0833249999999999
2,2204.35,33.04,0.9254910847059157,130.0,40.0,81.685,0.8125,9.23,4.79,1600.0,1.926056338028169,1.3777187499999999
3,569.27,32.02,0.8614379418595748,109.0,40.0,21.095,0.68125,2.85,4.32,1600.0,0.66015625,0.35579374999999996
4,1455.32,23.93,0.9351671218624008,93.0,40.0,53.92875,0.58125,6.38,4.87,1600.0,1.3079584775086506,0.9095749999999999
5,2.01,1.22,0.4524714828897338,1.0,40.0,0.074375,0.00625,0.42,0.27,1600.0,1.5625,0.0012562499999999998
6,2617.86,37.38,0.8442784797732823,139.0,40.0,97.008125,0.86875,6.53,11.45,1600.0,0.5699558173784978,1.6361625000000002
