,label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
2,3,586.66,208.14,0.8371762780398575,129,10,347.83,3.225,12.86,77.27,100,0.1663865546218487,5.8666,3
3,4,560.57,206.12,0.7926922343064301,119,10,332.36,2.975,12.86,71.17,100,0.1806569343065693,5.605700000000001,3
4,5,435.57,190.8,0.8068295426143464,105,10,258.25,2.625,13.9,59.74,100,0.2326086956521739,4.3557,3
5,6,382.61,143.82,0.8546509437516483,81,10,226.85,2.025,11.43,46.36,100,0.2464985994397759,3.8261,3
6,7,274.84,189.06,0.7417607428987618,125,10,162.95,3.125,10.52,66.36,100,0.1585127201565557,2.7484,3
7,8,468.41,160.8,0.8805047398624013,80,10,277.72,2.0,10.52,55.97,100,0.1879350348027842,4.6841,3
8,9,496.12,165.96,0.7878877162907805,116,10,294.15,2.9,15.58,56.75,100,0.2745995423340961,4.9612,3
9,10,741.37,248.2,0.8377518153576398,147,10,439.56,3.675,12.86,83.25,100,0.1544461778471139,7.4137,3
10,11,509.82,216.9,0.6714723653811978,123,10,302.27,3.075,15.06,75.84,100,0.1986301369863013,5.0982,3
11,12,1121.49,399.89,0.7904447165392708,227,10,664.93,5.675,14.03,144.16,100,0.0972972972972973,11.2149,3
12,13,1271.73,436.0,0.7595930086133078,274,10,754.01,6.85,15.71,147.53,100,0.1065140845070422,12.7173,3
13,14,909.58,336.18,0.8258020059719776,186,10,539.29,4.65,12.99,126.36,100,0.1027749229188078,9.0958,3
14,15,1190.91,392.2,0.8299520428793079,242,10,706.09,6.05,13.9,136.36,100,0.1019047619047619,11.9091,3
15,16,1027.76,370.16,0.7329235876402738,186,10,609.36,4.65,15.32,138.96,100,0.1102803738317757,10.2776,3
16,17,1118.52,361.85,0.8060995028504053,212,10,663.17,5.3,11.43,130.0,100,0.0879120879120879,11.1852,3
17,18,1063.18,335.68,0.7327296609282916,199,10,630.36,4.975,14.81,122.47,100,0.1208907741251325,10.6318,3
18,19,681.51,284.09,0.7724674530195569,165,10,404.07,4.125,12.73,110.26,100,0.1154299175500589,6.8151,3
19,20,778.78,310.55,0.8182527024632288,167,10,461.74,4.175,11.17,104.68,100,0.1066997518610421,7.7878,3
20,21,671.16,250.13,0.8275381607952419,155,10,397.93,3.875,11.43,91.17,100,0.1253561253561253,6.7116,3
0,1,8303.63,471.2,0.960585260397562,228,100,49.2323,0.57,93.25,97.14,10000,0.9598930481283422,0.830363,1
1,2,9584.28,463.13,0.9702133689830442,204,100,56.8253,0.51,114.68,100.52,10000,1.1408268733850129,0.958428,2
2,3,11784.65,528.23,0.9685205489705762,266,100,69.8713,0.665,144.29,94.42,10000,1.5281980742778545,1.178465,2
3,4,2769.48,324.06,0.8296223316912972,155,100,16.4203,0.3875,60.13,74.55,10000,0.8066202090592335,0.276948,1
4,5,135.3,64.5,0.8652788264480639,26,100,0.8022,0.065,13.64,16.36,10000,0.8333333333333334,0.01353,0
0,1,334.29,102.02,0.9113062669548024,60,20,49.55,0.75,22.34,20.65,400,1.0817610062893082,0.835725,2
1,2,195.5,142.68,0.7794889038332212,63,20,28.9775,0.7875,18.7,16.75,400,1.1162790697674418,0.48875,1
2,3,390.66,108.75,0.871374289906324,60,20,57.905,0.75,23.12,28.57,400,0.8090909090909091,0.97665,2
3,4,241.54,78.52,0.9017126306510514,44,20,35.8025,0.55,19.61,19.22,400,1.0202702702702702,0.60385,1
4,5,316.56,107.34,0.8749300764497483,47,20,46.9225,0.5875,21.95,19.61,400,1.119205298013245,0.7914,2
5,6,323.21,95.23,0.8808954675002298,40,20,47.9075,0.5,19.48,20.52,400,0.9493670886075948,0.808025,2
6,7,222.04,107.71,0.8494644470254227,58,20,32.9125,0.725,18.7,16.36,400,1.1428571428571428,0.5550999999999999,1
7,8,355.0,105.74,0.9049400232168192,44,20,52.62,0.55,20.39,22.86,400,0.8920454545454546,0.8875,2
8,9,364.68,92.11,0.9026844236630068,45,20,54.055,0.5625,19.87,22.08,400,0.9,0.9117,2
